No.,NAMA USAHA,JENIS,BARANG UNGGULAN,ALAMAT,NAMA PEMILIK,No. TLP,Media Promosi,LONGITUDE,LATITUDE,JENIS WILAYAH BANGUNAN
1,TB TANJUNG JAYA ABADI,TK BNGN,BAHAN BANGUNAN,"JL. OTISTA, PASAWAHAN, TAROGONG KALER",RIDZWAN,0852 9590 5469,-,107.890317,-7.179475,TOKO BANGUNAN WILAYAH UTARA
2,TB. ADR JAYA MANDIRI,TK BNGN,BANGUNAN,"JL. OTISTA, TAROGONG KALER",DEWI,0821 1694 5548,-,107.89024,-7.17952,TOKO BANGUNAN WILAYAH UTARA
3,TB. PANCA LOGAM,TK BNGN,BANGUNAN,JL. MERDEKA HARUPANGGUNG TAROGONG KIDUL,-,0882 1885 4573,@ PTPLP,107.90531,-7.2021877,TOKO BANGUNAN WILAYAH UTARA
4,TB. BSN,TK BNGN,BANGUNAN,KERSAMENAK TAROGONG KIDUL,AGUS RAHMAN,0821 2124 7888,-,107.8587498,-7.2337569,TOKO BANGUNAN WILAYAH UTARA
5,TB. BARAYA,TK BNGN,BANGUNAN,JL RAYA LELES KEC. LELES,-,0812 8159 7885,-,107.897866,-7.11068,TOKO BANGUNAN WILAYAH UTARA
6,TB. BERKAH LAKSANA,TK BNGN,BANGUNAN,"JL RAYA LELES, CIBURIAL, KEC LELES",RENA. G,0821 2621 5000.,-,107.897554,-7.111912,TOKO BANGUNAN WILAYAH UTARA
7,TB. ITIKURIH,TK BNGN,BANGUNAN,"JL RAYA KADUNGORA, KADUNGORA",RAFDI,0822 0311 215,-,107.898138,-7.086188,TOKO BANGUNAN WILAYAH UTARA
8,TB. YUDA PUTRA,TK BNGN,BANGUNAN,JL. RAYA KADUNGORA NO 17.,YUDA,0813 2375 3745,-,107.8965759,-7.098406,TOKO BANGUNAN WILAYAH UTARA
9,TB. PANCA UTAMA,TK BNGN,BANGUNAN,"JL. RAYA GARUT CIHAYANG, CILAWU",-,,-,107.8787291,-7.2489401,TOKO BANGUNAN WILAYAH UTARA
10,TB SUMBER BANGUNAN,TK BNGN,BANGUNAN,"KM 8 JL. GARUT FARIT, CILAWU",-,0853 2009 1010,-,107.9127387,-7.2709653,TOKO BANGUNAN WILAYAH UTARA
11,CV. DAYA GUNA,TK BNGN,POMPA AIR,JL. PAKUWON NO. 19 GARUT KOTA,-,233 468,-,107.9084201,-7.2157979,TOKO BANGUNAN WILAYAH UTARA
12,TB. MM,TK BNGN,BANGUNAN,JL. AHMAD YANI-CIWALEN                GARUT KOTA,-,0812 2086 1312,-,107.9070607,-7.2157361,TOKO BANGUNAN WILAYAH UTARA
13,TB. UTAMA,TK BNGN,BANGUNAN,"JL. RAYA BAYONGBONG, BAYONGBONG",M. ABDUL HATIM,0812 2222 3930.,-,107.8188362,-7.2696778,TOKO BANGUNAN WILAYAH UTARA
14,TB. MULTI-GUNA,TK BNGN,BANGUNAN,"JL RAYA SIMPANG, BAYONGBONG","HASNA, MZ",0812 1260 0075,-,107.8202982,-7.2610343,TOKO BANGUNAN WILAYAH UTARA
15,TB CEMPEDAK JAYA,TK BNGN,BANGUNAN,JL RAYA SIMPANG KEC. SUKARESMI,-,0813 1163 744.,-,107.8146932,-7.2647229,TOKO BANGUNAN WILAYAH UTARA
16,TB CINTA LAKSANA 2,TK BNGN,BANGUNAN,"JL RAYA SIMPANG, SUKARESMI",-,0813 2053 8356,-,107.8106477,-7.2677753,TOKO BANGUNAN WILAYAH UTARA
17,TB. MEKAR JAYA,TK BNGN,BANGUNAN,"PANANJUNG, PASIRWANGI GARUT",-,085 295 265 029,-,107.8021447,-7.219024,TOKO BANGUNAN WILAYAH UTARA
18,TB MEGA BERKAH,TK BNGN,BANGUNAN,SIRNAJAYA PASIRWANGI,ATEP LUTFI,081 343 610 679,-,107.7911701,-7.2164778,TOKO BANGUNAN WILAYAH UTARA
19,TB. CL PUTRA,TK BNGN,,"PAKUWON, KEC. CISURUPAN",-,085 220 430 089,-,107.8082018,-7.2767431,TOKO BANGUNAN WILAYAH UTARA
20,TB. BAGJA RAHAYU,TK BNGN,,JL. CIDATAR KEC. CISURUPAN,YAN YAN,0878 2719 5888,-,107.7854694,-7.3272529,TOKO BANGUNAN WILAYAH UTARA
21,TB. NURSAMSI,TK BNGN,,SUKAHURIP CIGEDUG,H. ASEP,0813 2975 5777,-,107.806532,-7.332427,TOKO BANGUNAN WILAYAH UTARA
22,TB. BERKAH UTAMA,TK BNGN,,CINTANEGARA CIGEDUG,-,0821 3905 6566,-,107.8121155,-7.2931005,TOKO BANGUNAN WILAYAH UTARA
23,TB. BANGKIT JAYA,TK BNGN,,"JL. RAYA SAMARANG, KEC. SAMARANG",IYAN.,0823 1963 2228,-,107.8143806,-7.2197353,TOKO BANGUNAN WILAYAH UTARA
24,TB. TEGUH JAYA,TK BNGN,,"JL. RAYA KAMOJANG, SAMARANG",M. INDA,085 31617 7387,-,,,TOKO BANGUNAN WILAYAH UTARA
25,TB. BAROKAH JAYA,TK BNGN,SEMEN,Kp. PINTU SINDANG SARI LEUWIGOONG,ARIF,0813 1849 4843,-,107.9554685,-7.1050075,TOKO BANGUNAN WILAYAH UTARA
26,TB. SAWARGI,TK BNGN,,Kp. SINDANG MULYA CIBIUK,ROSI ROSTIANI,0857 2235 2663,-,,,TOKO BANGUNAN WILAYAH UTARA
27,TB. BERKAH NABAWI,TK BNGN,,JL. RAYA CIBIUK,TEGUH N,0852 4893 2201,-,107.9575561,-7.07936,TOKO BANGUNAN WILAYAH UTARA
28,TB. LARIZ,TK BNGN,,JL. RAYA CIRAPUHAN SELAAWI,UUS,0812 9772 8967,-,107.8777281,-7.079177,TOKO BANGUNAN WILAYAH UTARA
29,TB. MEKAR MULYA,TK BNGN,,JL. RAYA  SELAAWI,SARIPUDIN,0852 2036 3102,-,108.007444,-6.9867771,TOKO BANGUNAN WILAYAH UTARA
30,TB. LEBAK NANGKA,TK BNGN,,JL. RAYA  SELAAWI,DILA AZRILA,0821 2981 7666 ,-,108.0037671,-7.0243322,TOKO BANGUNAN WILAYAH UTARA
31,TB. SUPER BANGUNAN,TK BNGN,,JL. RAYA  LIMBANGAN,NENG YULIANTI,0812 2309 9399,-,107.9583603,-7.0330532,TOKO BANGUNAN WILAYAH UTARA
32,TB. KURNIA ASIH,TK BNGN,,JL. RAYA  KARANGPAWITAN,H MAMAN,0895 7199 9677,-,107.9467531,-7.2031728,TOKO BANGUNAN WILAYAH UTARA
33,TB. PUTRA MANDIRI,TK BNGN,,JL. SADANG SUCINARAJA,CEP IHSAN P,0896 1225 4400,-,107.9287283,-7.2031244,TOKO BANGUNAN WILAYAH UTARA
34,TB. ASAKO,TK BNGN,,JL. SADANG SUCINARAJA,UCU BUNYAMIN,0821 2657 3469,-,107.9725576,-7.1857651,TOKO BANGUNAN WILAYAH UTARA
